path,size_bytes,mtime,ext,top_dir
TEJ資料/TWN_EWPRCD_股價.csv,573942243,2026-04-22T15:06:31.468410,.csv,TEJ資料
TEJ資料/TWN_EWTINST1_三大法人.csv,478913280,2026-04-22T15:06:48.670440,.csv,TEJ資料
資料.rar,363804842,2026-04-22T15:27:04,.rar,
TEJ資料/TWN_EWGIN_融資融券.csv,333957514,2026-04-22T15:06:09.948371,.csv,TEJ資料
股票期貨.zip,115162570,2026-04-13T17:25:30.215679,.zip,
DATA_BY_SYMBOL/GC/GC_1_min.parquet,92131990,2026-05-10T00:36:22.838331,.parquet,DATA_BY_SYMBOL
GC_1min_2010-2024.zip,74140887,2026-05-02T23:12:08.470604,.zip,
NQ_1min_2010-2024.zip,72912276,2026-05-04T01:18:48.285521,.zip,
ES_1min_2010-2024.zip,56904864,2026-05-04T01:18:40.376916,.zip,
股票期貨/stock_futures_daily.parquet,47685666,2026-04-13T10:46:44,.parquet,股票期貨
股票期貨/stock_futures_daily_taifex.parquet,47651818,2026-04-13T10:46:40,.parquet,股票期貨
DATA_BY_SYMBOL/GC/GC_5_mins.parquet,41401964,2026-05-02T23:35:53.891677,.parquet,DATA_BY_SYMBOL
data.7z,39764749,2026-04-17T16:24:40.769407,.7z,
MXF_1m_clean_all.parquet,39416936,2026-03-17T11:04:08,.parquet,
TEJ資料/TWN_EWIFINQ_累季財報.csv,39027133,2026-04-22T15:06:11.516374,.csv,TEJ資料
TEJ資料/TWN_EWIFINQ_單季財報.csv,38595282,2026-04-22T15:06:10.721371,.csv,TEJ資料
選擇權日盤逐筆原始資料_TXO.parquet.zip,38545707,2026-04-22T13:56:29.215625,.zip,
選擇權日盤逐筆原始資料_TXO.parquet/選擇權日盤逐筆原始資料_TXO.parquet,38545519,2026-04-22T13:52:34,.parquet,選擇權日盤逐筆原始資料_TXO.parquet
外資投信買賣超資料/institutional_clean.parquet,32322199,2026-04-14T07:58:19.504825,.parquet,外資投信買賣超資料
外資投信買賣超資料/institutional_full.parquet,31529083,2026-04-13T21:20:56.941895,.parquet,外資投信買賣超資料
股票期貨/clean_all_sessions.parquet,29810719,2026-04-13T11:10:57,.parquet,股票期貨
MXF_1m_clean_all.zip,29320574,2026-03-28T17:47:00,.zip,
TXO_1min_merged_20260310-20260422.parquet.zip,16375944,2026-04-22T18:15:57.123271,.zip,
TXO_1min_merged_20260310-20260422.parquet/TXO_1min_merged_20260310-20260422.parquet,16375764,2026-04-22T18:00:52,.parquet,TXO_1min_merged_20260310-20260422.parquet
